house_id,xiaoqu,district,total_price,unit_price,house_type,floor,area,house_struct,in_area,building_type,direction,building_structure,fixture,elevator_ratio,elevator_exist,yearlimit,list_time,trade_type,last_tradetime,house_use,house_time,owner_attribute,mortage,property_status,villa_type,overall_floor
103108509623,维利亚花园,乳山市,150000.0,4167.0,1室0厅1厨1卫,中楼层,36.0,平层,暂无数据,板楼,南北,砖混结构,简装,一梯四户,暂无数据,暂无数据,2020-04-11,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,暂无数据,7.0
103108412322,檀香丽湾,乳山市,368000.0,5112.0,2室2厅1厨1卫,低楼层,72.0,平层,暂无数据,暂无数据,南北,未知结构,精装,十六梯三户,有,暂无数据,2020-04-06,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,暂无数据,18.0
103106485226,御宫花园,乳山市,330000.0,3486.0,2室2厅1厨1卫,高楼层,94.67,平层,80.01㎡,板楼,南北,混合结构,简装,一梯两户,无,满五年,2019-10-11,商品房,2011-07-06,普通住宅,满五年,非共有,无抵押,已上传房本照片,暂无数据,7.0
103108554063,阳光家园,乳山市,598000.0,6796.0,3室1厅1厨1卫,高楼层,88.0,平层,暂无数据,暂无数据,南北,未知结构,精装,一梯两户,无,暂无数据,2020-04-13,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,暂无数据,6.0
103108510342,安康居观海苑,乳山市,275000.0,1719.0,4室2厅1厨2卫,高楼层,160.0,平层,暂无数据,暂无数据,南北,未知结构,精装,一梯两户,无,暂无数据,2020-04-11,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,暂无数据,7.0
103108562025,海岸明珠,乳山市,358000.0,4711.0,2室2厅1厨1卫,低楼层,76.0,平层,暂无数据,暂无数据,南北,未知结构,简装,一梯四户,无,暂无数据,2020-04-13,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,暂无数据,7.0
103108532074,假日海景海之缘花苑,乳山市,215000.0,3029.0,2室1厅1厨1卫,中楼层,71.0,平层,暂无数据,板楼,南北,钢混结构,精装,一梯两户,无,暂无数据,2020-04-12,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,暂无数据,7.0
103108531649,明珠海苑,乳山市,360000.0,3822.0,2室2厅1厨1卫,中楼层,94.2,平层,暂无数据,板楼,南北,砖混结构,精装,一梯两户,无,暂无数据,2020-04-12,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,暂无数据,6.0
103108474809,天安海景园,乳山市,220000.0,2750.0,2室2厅1厨1卫,中楼层,80.0,平层,暂无数据,暂无数据,东,未知结构,其他,一梯两户,无,暂无数据,2020-04-09,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,暂无数据,6.0
103108264152,闻涛美域,乳山市,245000.0,3417.0,2室1厅1厨1卫,高楼层,71.71,平层,暂无数据,暂无数据,南北,未知结构,精装,一梯四户,无,暂无数据,2020-03-29,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,暂无数据,6.0
103106871292,海都花苑,乳山市,535000.0,4735.0,2室2厅1厨1卫,中楼层,113.0,平层,暂无数据,板楼,南北,框架结构,精装,一梯三户,无,暂无数据,2019-11-09,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,暂无数据,6.0
103108264083,海韵山水佳园,乳山市,265000.0,2302.0,3室2厅1厨1卫,高楼层,115.12,平层,暂无数据,板楼,南南北,混合结构,精装,一梯两户,无,暂无数据,2020-03-29,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,暂无数据,8.0
